trade_number,date,platform,transaction_type,amount,price,currency,transfer_method,order_invoice_number,platform_fee
,2024-02-14 18:17:16,Binance,Buy,500.0,4.04,PLN,ZEN,20591147858659995648,0.5
,2024-02-15 14:14:08,Binance,Sell,213.44,0.937,EUR,SEPA,20591449061482065920,0.0
,2024-02-15 14:53:28,Binance,Sell,202.77,0.937,EUR,SEPA,20591458958760615936,0.0
,2024-02-15 15:01:33,Binance,Sell,92.84,0.937,EUR,SEPA,20591460991225737216,0.0
,2024-02-15 15:52:59,Binance,Buy,96.0,4.03,PLN,ZEN,20591473933812994048,0.09
,2024-02-15 16:26:50,Binance,Sell,32.01,0.937,EUR,SEPA,20591482455619338240,0.0
,2024-02-15 17:39:42,Binance,Buy,1076.42,0.929,EUR,SEPA,20591500789920436224,0.0
,2024-02-17 16:19:46,Binance,Buy,1487.2,0.928,EUR,SEPA,20592205453089726464,0.0
,2024-02-18 16:23:26,Binance,Sell,10.68,0.936,EUR,SEPA,20592568763118133248,0.0
,2024-02-18 16:53:57,Binance,Sell,58.76,0.936,EUR,SEPA,20592576444286521344,0.0
,2024-02-18 16:55:17,Binance,Sell,161.32,0.936,EUR,SEPA,20592576776911671296,0.0
,2024-02-18 17:46:29,Binance,Sell,181.62,0.936,EUR,SEPA,20592589664272613376,0.0
,2024-02-18 17:57:55,Binance,Sell,10.68,0.936,EUR,SEPA,20592592541489213440,0.0
,2024-02-18 18:29:38,Binance,Sell,20.0,0.936,EUR,SEPA,20592600520519921664,0.0
,2024-02-19 14:38:16,Binance,Sell,16.0,0.937,EUR,SEPA,20592904685673193472,0.0
,2024-02-19 14:45:24,Binance,Sell,53.36,0.937,EUR,SEPA,20592906478533050368,0.0
,2024-02-19 14:46:25,Binance,Sell,85.37,0.937,EUR,SEPA,20592906733617926144,0.0
,2024-02-19 16:54:34,Binance,Buy,1400.0,0.928,EUR,SEPA,20592938984122023936,0.0
,2024-02-19 17:01:27,Binance,Buy,14.61,4.01,PLN,ZEN,20592940716296863744,0.01
,2024-02-20 03:13:15,Binance,Buy,62.62,4.01,PLN,ZEN,20593094681075572736,0.06
,2024-02-20 15:34:11,Binance,Sell,24.59,0.932,EUR,SEPA,20593281143662510080,0.0
,2024-02-20 16:00:41,Binance,Sell,53.64,0.932,EUR,SEPA,20593287811353358336,0.0
,2024-02-21 06:31:49,Binance,Sell,26.79,0.933,EUR,SEPA,20593507041822715904,0.0
,2024-02-21 06:34:20,Binance,Sell,107.18,0.933,EUR,SEPA,20593507674011652096,0.0
,2024-02-21 14:57:44,Binance,Buy,1090.23,0.924,EUR,SEPA,20593634357230268416,0.0
,2024-02-21 17:05:44,Binance,Sell,310.08,0.932,EUR,SEPA,20593666569379336192,0.0
,2024-02-21 17:35:26,Binance,Sell,857.44,0.933,EUR,SEPA,20593674044279750656,0.0
,2024-02-21 17:37:55,Binance,Sell,428.72,0.933,EUR,SEPA,20593674669641420800,0.0
,2024-02-22 14:20:23,Binance,Buy,1100.0,0.924,EUR,SEPA,20593987347699261440,0.0
,2024-02-22 18:00:10,Binance,Sell,53.64,0.932,EUR,SEPA,20594042657403510784,0.0
,2024-02-22 18:07:38,Binance,Sell,72.96,0.932,EUR,SEPA,20594044537264988160,0.0
,2024-02-23 19:41:03,Binance,Sell,172.83,4.05,PLN,ZEN,20594430435262935040,0.17
,2024-02-23 19:53:00,Binance,Sell,24.69,4.05,PLN,ZEN,20594433440799715328,0.02
,2024-02-23 20:06:15,Binance,Sell,49.38,4.05,PLN,ZEN,20594436776199880704,0.04
,2024-02-23 20:30:48,Binance,Sell,123.45,4.05,PLN,ZEN,20594442952127688704,0.12
